2020-01-21 02:08:03.450  INFO 16260 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$7474b600] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-21 02:08:29.673  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application version is -1: false
2020-01-21 02:08:29.673  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2020-01-21 02:08:29.680  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : The response status is 200
2020-01-21 02:08:34.684  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2020-01-21 02:08:34.685  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2020-01-21 02:08:34.685  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2020-01-21 02:08:34.685  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application is null : false
2020-01-21 02:08:34.685  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2020-01-21 02:08:34.686  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Application version is -1: false
2020-01-21 02:08:34.686  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2020-01-21 02:08:34.741  INFO 16260 --- [DiscoveryClient-CacheRefreshExecutor-0] com.netflix.discovery.DiscoveryClient    : The response status is 200
2020-01-21 02:08:47.665  INFO 16260 --- [http-nio-3344-exec-3] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: classpath:/configs/dev/microservicecloudprovider-dept-config-8001.yml
2020-01-21 02:09:00.359  INFO 16260 --- [http-nio-3344-exec-5] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: classpath:/configs/dev/microservicecloudprovider-dept-config-8001.yml
